UF;YEAR;MONTH;CHUVA;DENGUE
CE;2019;01;1209.6;895.0
CE;2019;02;1844.0;1707.0
CE;2019;03;2284.8;4167.0
CE;2019;04;1694.0;5604.0
CE;2019;05;1140.2;5198.0
CE;2019;06;539.6;4981.0
CE;2019;07;345.0;2693.0
CE;2019;08;66.8;2037.0
CE;2019;09;56.6;1635.0
CE;2019;10;64.2;690.0
CE;2019;11;117.8;567.0
CE;2019;12;345.4;537.0
RS;2019;01;10280.2;20.0
RS;2019;02;4571.4;19.0
RS;2019;03;5158.0;113.0
RS;2019;04;5981.2;318.0
RS;2019;05;8658.6;436.0
RS;2019;06;2040.2;252.0
RS;2019;07;5742.0;55.0
RS;2019;08;3544.2;33.0
RS;2019;09;3235.4;26.0
RS;2019;10;11955.6;18.0
RS;2019;11;5579.4;25.0
RS;2019;12;2873.2;40.0
PR;2019;01;4274.6;3027.0
PR;2019;02;4461.6;5836.0
PR;2019;03;3250.0;15295.0
PR;2019;04;2754.6;21912.0
PR;2019;05;4169.6;24737.0
PR;2019;06;1241.0;14245.0
PR;2019;07;816.6;3847.0
PR;2019;08;597.0;2472.0
PR;2019;09;1500.4;3271.0
PR;2019;10;2095.2;3442.0
PR;2019;11;3083.2;5523.0
PR;2019;12;4863.0;9576.0
ES;2019;01;186.0;4090.0
ES;2019;02;1543.2;5356.0
ES;2019;03;1321.0;10579.0
ES;2019;04;776.6;10332.0
ES;2019;05;1344.0;14617.0
ES;2019;06;524.2;17690.0
ES;2019;07;327.2;7567.0
ES;2019;08;662.6;3462.0
ES;2019;09;696.8;2525.0
ES;2019;10;738.6;1566.0
ES;2019;11;3629.0;1537.0
ES;2019;12;1719.0;1272.0
